User,HourlyRows,DischargeRows,HurstExponent,Regime
006f690ab4e08bc4ba33cf30881b6d90e8045fb52a86f8e3a953b2e62ba6030e,1657,1474,0.838,Persistent (long-range dependence detected — H > 0.5)
072a14b8c97a798d98176fddc9d2ae83303a7ebfc32ef9589ca3eb4d3b493896,1748,1108,0.5766,Persistent (long-range dependence detected — H > 0.5)
0b2ab3916c9084f8255a063347a6ea05e4155e0e6077a9aafbde7bd5c7399939,1689,1440,0.9493,Persistent (long-range dependence detected — H > 0.5)
122398bbe4402af389a2d6de4898084d1e7a26b1bbcc138e7964dda1c45753e0,1625,517,0.8501,Persistent (long-range dependence detected — H > 0.5)
2190a0da2b794d4ccc4e462cd89c2fdd37bced93272aafc334656a7d8cb167a2,1710,1385,0.9687,Persistent (long-range dependence detected — H > 0.5)
3370f23cd7055a73bca859557669d8269438d7e42469389e5f315f4d225397eb,1754,1428,0.9409,Persistent (long-range dependence detected — H > 0.5)
35029dbb4217c0f9f09917e7588b9cf52dc7c3c583ca150c08c3ff15b51e502d,1696,1334,0.9571,Persistent (long-range dependence detected — H > 0.5)
401f02de69f658de9e87b74fd3155aa7295cc8a2fcb67d43988d051cb0c48767,1754,1229,0.6143,Persistent (long-range dependence detected — H > 0.5)
42233253fe42e009fa081604c3c68c443e3a8ba5462444cd1147d0184dc14875,1723,1107,0.661,Persistent (long-range dependence detected — H > 0.5)
4302df0ed0ead69d5c1f3f7d599e0604c74438e67ded2718bed89e03fcd77a5e,1716,1107,0.5956,Persistent (long-range dependence detected — H > 0.5)
4f3169eb15a50d3c2f5f226945c4ab5c232b3bcc192016fd24eaf00a169450e7,1717,1252,1.0296,Persistent (long-range dependence detected — H > 0.5)
5706d6e39711299c5dca5ed655ccd1ea67c1f06ef740248a261e1e5c1bf7d4d1,1754,993,0.4988,Random walk / no long-range dependence (H ≈ 0.5)
58a256bf9bf25361902e57fbf9dbfda7ba9742f82a5b2c81fa21b0d7c8de8351,1756,1066,0.4778,Random walk / no long-range dependence (H ≈ 0.5)
5d3785215cff6de05330b0844799bf9de0ea0608edc22b098737ec286d325486,1724,1467,0.919,Persistent (long-range dependence detected — H > 0.5)
619342070cb5b8977465665ac5b67a37c70ec1f4a1d655e9bb0a592492ab58fa,809,507,0.6836,Persistent (long-range dependence detected — H > 0.5)
6629d47f285139f95d148293c9b8f7115840bf21970299ddf50db544d09f724d,1643,974,0.651,Persistent (long-range dependence detected — H > 0.5)
6e86e2d6f2a2944b1833381e1cc15d89d24b39d690fc9a82bc7e7e63daf388b1,1606,966,0.8241,Persistent (long-range dependence detected — H > 0.5)
75717a842dc74ab7d5647a13cdedeeb92dfb5458a2af07fc5e55e6a4e5028000,801,621,0.5802,Persistent (long-range dependence detected — H > 0.5)
7df2a7a2d31f0da18b23458d9c3e1a2e3e10b8db8af6f4fbef5e0151c5d7389e,735,508,0.5497,Random walk / no long-range dependence (H ≈ 0.5)
8549a9649825e1223e3cc7f4ce6f14228d099e4d12fc26973d58c4d3c4f9ec1a,1688,1014,0.4466,Anti-persistent (mean-reverting series — H < 0.5)
9021cb4959b8e69129076af509ffe403d590465f291087f4920899fa5d707730,1055,561,0.5977,Persistent (long-range dependence detected — H > 0.5)
902e6589f2a9e662bfa49928bf095f473032015b53a7cc5df63e8e6ca75bf189,1696,1023,0.6286,Persistent (long-range dependence detected — H > 0.5)
941a15e6d02a161f780d24d99b5c96ac7b73ed02652b95818e73473ba8d8fb66,1671,1064,0.5684,Persistent (long-range dependence detected — H > 0.5)
9f9a9d577893087d97533f4089771fbccf09222a4bffb979edd33ec43eb2ee06,1716,1516,0.9133,Persistent (long-range dependence detected — H > 0.5)
ab51993ac24b0a7348768385d1fd38822c7cc29b6b586cf9a98e7847dc63ac80,1716,1465,0.8628,Persistent (long-range dependence detected — H > 0.5)
bd0f66c3e921d37f7bac8b9f2ca5766d804a462c3bcf199048ec72bad5f7d346,1755,1201,0.8009,Persistent (long-range dependence detected — H > 0.5)
c0c28a757eeda2e30568e94220c96c832f06ad224f34cb0f08bc421001b1f6b3,1687,1422,0.9432,Persistent (long-range dependence detected — H > 0.5)
dac9cdfe775c7c6f25417d523328d94c326f877acf08618f728ce005d49e0fa5,1717,1126,0.5829,Persistent (long-range dependence detected — H > 0.5)
e15273aae8d4a96deec049c5ce348c7bf2552e5be53c2df269454e215549e352,1716,1157,0.5796,Persistent (long-range dependence detected — H > 0.5)
e2e068d35ffc7172fd5bda6060f88eb0fe6a9ab9f443d9cf458f4397c6b3e516,953,789,1.1225,Persistent (long-range dependence detected — H > 0.5)
ea1f79f3b9f2510c229de2d4ee98441c7fcf39bf384b32a2212535325fb5ac69,1645,961,0.6526,Persistent (long-range dependence detected — H > 0.5)
ec92f70a957b2292031f4342096c17736c6d1b92a0371095875c51296e708d43,1754,1043,0.5818,Persistent (long-range dependence detected — H > 0.5)
f52b062e0888afa06646eed2bcb152f90959a16b682c959a350d6674eee5f598,1717,1556,0.9436,Persistent (long-range dependence detected — H > 0.5)
fbab5a104967bc80e8cd181c27ff49481f9ffefea5c5b46e20a56060819dac61,1754,1048,0.6826,Persistent (long-range dependence detected — H > 0.5)